+1 84:0.0022331915665 373:0.0121624591006 467:0.0891022567906 612:0.0803736501041 1217:0.204595174112 1875:0.101657304489 1898:0.0875368504006 2075:0.000123783709113
+1 84:0.0022331915665 373:0.0121624591006 612:0.0803736501041 1417:0.115100328724 1638:0.184526507735 1875:0.101657304489 1898:0.0875368504006 2075:0.000123783709113
-1 84:0.0022331915665 373:0.0121624591006 612:0.0803736501041 1417:0.115100328724 1809:0.184526507735 1875:0.101657304489 1898:0.0875368504006 2075:0.000123783709113
+1 84:0.0022331915665 612:0.0803736501041 1184:0.184526507735 1417:0.115100328724 1875:0.101657304489 1898:0.0875368504006 1951:0.0403356415131 2075:0.000123783709113
+1 84:0.00239270524982 612:0.0861146251115 1174:0.0303206444439 1184:0.197706972573 1875:0.108918540524 1898:0.0937894825721 2075:0.000132625402622
-1 84:0.0022331915665 373:0.0121624591006 612:0.0803736501041 1417:0.115100328724 1809:0.184526507735 1875:0.101657304489 1898:0.0875368504006 2075:0.000123783709113
+1 84:0.0022331915665 373:0.0121624591006 612:0.0803736501041 1417:0.115100328724 1638:0.184526507735 1875:0.101657304489 1898:0.0875368504006 2075:0.000123783709113
-1 84:0.0022331915665 325:0.184526507735 612:0.0803736501041 847:0.184526507735 1174:0.0282992681476 1875:0.101657304489 1898:0.0875368504006 2075:0.000123783709113
-1 52:0.197706972573 84:0.00239270524982 307:0.21920911512 612:0.0861146251115 1875:0.108918540524 1898:0.0937894825721 2075:0.000132625402622
-1 36:0.236071354745 84:0.00257675949981 612:0.0927388270432 1875:0.117296889795 1898:0.101004058155 2075:0.000142827356669
